Date,Close,lag_1,label
2020-09-28,27.25,46.5,1
2020-09-29,27.75,27.25,0
2020-09-30,25.5,27.75,1
2020-10-01,26.25,25.5,0
2020-10-02,26.25,26.25,0
2020-10-05,27.25,26.25,0
2020-10-06,30.5,27.25,0
2020-10-07,30.75,30.5,0
2020-10-08,34.5,30.75,0
2020-10-09,34.5,34.5,0
2020-10-12,32.5,34.5,1
2020-10-13,34.25,32.5,0
2020-10-14,32.75,34.25,1
2020-10-15,33.25,32.75,0
2020-10-16,33.75,33.25,0
2020-10-19,32.75,33.75,1
2020-10-20,33.0,32.75,0
2020-10-21,31.0,33.0,1
2020-10-22,31.75,31.0,0
2020-10-23,33.5,31.75,0
2020-10-26,31.5,33.5,1
2020-10-27,29.5,31.5,1
2020-10-28,27.25,29.5,1
2020-10-29,27.0,27.25,1
2020-10-30,26.75,27.0,1
2020-11-02,25.75,26.75,1
2020-11-03,26.25,25.75,0
2020-11-04,25.75,26.25,1
2020-11-05,26.0,25.75,0
2020-11-06,25.75,26.0,1
2020-11-09,26.75,25.75,0
2020-11-10,28.75,26.75,0
2020-11-11,32.5,28.75,0
2020-11-12,30.25,32.5,1
2020-11-13,32.0,30.25,0
2020-11-16,32.25,32.0,0
2020-11-17,32.0,32.25,1
2020-11-18,35.0,32.0,0
2020-11-19,33.5,35.0,1
2020-11-20,34.25,33.5,0
2020-11-23,34.5,34.25,0
2020-11-24,34.75,34.5,0
2020-11-25,35.25,34.75,0
2020-11-27,41.25,35.25,0
2020-11-30,40.5,41.25,1
2020-12-01,38.0,40.5,1
2020-12-02,39.0,38.0,0
2020-12-03,38.5,39.0,1
2020-12-04,37.75,38.5,1
2020-12-07,37.5,37.75,1
2020-12-08,38.25,37.5,0
2020-12-09,36.5,38.25,1
2020-12-10,38.25,36.5,0
2020-12-11,38.25,38.25,0
2020-12-14,38.75,38.25,0
2020-12-15,40.0,38.75,0
2020-12-16,40.75,40.0,0
2020-12-17,40.0,40.75,1
2020-12-18,38.5,40.0,1
2020-12-21,38.75,38.5,0
2020-12-22,40.0,38.75,0
2020-12-23,45.0,40.0,0
2020-12-24,43.25,45.0,1
2020-12-28,41.5,43.25,1
2020-12-29,38.5,41.5,1
2020-12-30,40.25,38.5,0
2020-12-31,39.25,40.25,1
2021-01-04,42.25,39.25,0
2021-01-05,43.5,42.25,0
2021-01-06,42.75,43.5,1
2021-01-07,44.5,42.75,0
2021-01-08,44.0,44.5,1
2021-01-11,46.0,44.0,0
2021-01-12,45.5,46.0,1
2021-01-13,44.75,45.5,1
2021-01-14,49.5,44.75,0
2021-01-15,47.75,49.5,1
2021-01-19,53.5,47.75,0
2021-01-20,49.75,53.5,1
2021-01-21,49.5,49.75,1
2021-01-22,53.0,49.5,0
2021-01-25,58.25,53.0,0
2021-01-26,56.0,58.25,1
2021-01-27,51.0,56.0,1
2021-01-28,49.75,51.0,1
2021-01-29,47.75,49.75,1
2021-02-01,48.5,47.75,0
2021-02-02,50.75,48.5,0
2021-02-03,58.5,50.75,0
2021-02-04,61.5,58.5,0
2021-02-05,64.5,61.5,0
2021-02-08,84.75,64.5,0
2021-02-09,83.5,84.75,1
2021-02-10,84.0,83.5,0
2021-02-11,84.0,84.0,0
2021-02-12,74.0,84.0,1
2021-02-16,68.0,74.0,1
2021-02-17,65.75,68.0,1
2021-02-18,61.5,65.75,1
2021-02-19,60.25,61.5,1
2021-02-22,55.75,60.25,1
2021-02-23,52.5,55.75,1
2021-02-24,55.0,52.5,0
2021-02-25,62.25,55.0,0
2021-02-26,60.5,62.25,1
2021-03-01,58.5,60.5,1
2021-03-02,59.0,58.5,0
2021-03-03,54.75,59.0,1
2021-03-04,52.0,54.75,1
2021-03-05,50.25,52.0,1
2021-03-08,52.5,50.25,0
2021-03-09,54.5,52.5,0
2021-03-10,55.0,54.5,0
2021-03-11,56.5,55.0,0
